;Entries;;;;Avg;;;;;
5;1;1;1;5;57,6797019352676;0,579921368464616;0,573624516363332;0,576993030294616;0,574480599962187;0,578965581678629
5;2;1;1;5;58,3637965095539;0,583900627083216;0,581561734884673;0,583509259978395;0,586847040478749;0,582371163052661
5;3;1;1;5;63,1539516744259;0,634940537254455;0,630944305128928;0,631175416290078;0,630362430279799;0,630274894768034
5;4;1;1;5;67,345755633544;0,674777919306546;0,673261156763853;0,673048367452492;0,671444911044507;0,674755427109805
5;5;1;1;5;70,9097642144699;0,711753241250742;0,708145237107115;0,706380853207359;0,708385503172778;0,710823375985502
5;6;1;1;5;73,6362860262627;0,735654373024236;0,736016285362442;0,736992213310138;0,736334135522443;0,736817294093878
5;7;1;1;5;76,044123003433;0,759229745621093;0,75901550806265;0,761811982464686;0,76193630377017;0,760212610253052
5;8;1;1;5;77,8643594427259;0,778103550161371;0,778489758112274;0,779215241344126;0,777606765972037;0,77980265654649
5;9;1;1;5;79,5914982112454;0,796649996987407;0,797742617297473;0,794850484105904;0,795409886927744;0,794921925243742
5;10;1;1;5;81,0328006739261;0,809722164713676;0,808884365898862;0,811581405712305;0,811257707243783;0,810194390127676
5;11;1;1;5;82,2494637660315;0,821610345543937;0,82390034099282;0,821534255109281;0,823336996462791;0,822091250192746
5;12;1;1;5;83,3971136942752;0,834238229971196;0,834905780764814;0,833702466948344;0,834176229473126;0,832832977556279
5;13;1;1;5;84,2811102373327;0,844352893015478;0,842569391325755;0,842276408588839;0,842141284033378;0,842715534903185
5;14;1;1;5;85,2731277700847;0,852997674653726;0,852721849366145;0,852472122869767;0,853274033065244;0,852190708549355
5;15;1;1;5;85,9697711658225;0,860331389548983;0,858925074345398;0,860095183272391;0,858035850587734;0,86110106053662
5;16;1;1;5;86,6529721847635;0,865895923172571;0,86681801994302;0,867479337749513;0,866029047741569;0,866426280631501
5;17;1;1;5;87,260496085364;0,873876635775975;0,871963173002871;0,874437559117067;0,873008896234045;0,869738540138243
5;18;1;1;5;87,8496325289315;0,878242414714668;0,8785084202085;0,879384126318731;0,878353417187088;0,877993248017587
5;19;1;1;5;88,4016290028847;0,884191304347826;0,883586908409203;0,884423297268457;0,883516962069416;0,884362978049332
5;20;1;1;5;88,8684348560357;0,889576327026588;0,889276507991064;0,888155232823409;0,887607525960451;0,888806149000274
5;21;1;1;5;89,3003278929186;0,892444187115781;0,893151969981238;0,894928150206738;0,89145774671778;0,89303434062439
5;22;1;1;5;89,7021533802984;0,897009124704292;0,895711053267323;0,897320634920635;0,896584585538519;0,898482270584152
5;23;1;1;5;90,1018492237999;0,901424446244322;0,900761487964989;0,900155501974351;0,901880441295689;0,900870583710645
5;24;1;1;5;90,4443495655845;0,905675526487463;0,903496224343834;0,904312993945653;0,903346379155737;0,905386354346539
5;25;1;1;5;90,8237493202668;0,906948846820658;0,908781914473164;0,908396946564886;0,910249346242315;0,906810411912319
5;26;1;1;5;91,132320805375;0,912598820429163;0,911602554396715;0,910483661069278;0,911915299062341;0,910015705311251
