Clients;Entries;RWxTR;WRxTR;Seconds;Avg;DesvTipica;Min;Max;Client1;Client2;Client3;Client4;Client5;Client6;Client7;Client8;Client9;Client10;Client11;Client12;Client13;Client14;Client15;Client16;Client17;Client18;Client19;Client20;Client21;Client22;Client23;Client24;Client25
1;10;1;1;5;100;---;100;100;100;;;;;;;;;;;;;;;;;;;;;;;;
2;10;1;1;5;94.7125220897188;0.0439726976623876;94.6814286970147;94.743615482423;94.743615482423;94.6814286970147;;;;;;;;;;;;;;;;;;;;;;;
3;10;1;1;5;89.5628345995905;0.0861684807226909;89.4635278605667;89.6178392080623;89.6071367301424;89.6178392080623;89.4635278605667;;;;;;;;;;;;;;;;;;;;;;
4;10;1;1;5;85.1810239227401;0.102265488148086;85.0483063671284;85.2775548856744;85.0483063671284;85.2775548856744;85.2426360602923;85.1555983778653;;;;;;;;;;;;;;;;;;;;;
5;10;1;1;5;80.8863133637428;0.109539707330394;80.7450736791248;80.9985987294;80.9985987294;80.7450736791248;80.9184162756448;80.9696024407175;80.799875693827;;;;;;;;;;;;;;;;;;;;
6;10;1;1;5;76.9797683819818;0.144105721492656;76.7492450731087;77.1782510767772;77.0222138442154;77.0226217524449;76.8972837840519;77.0089947612929;76.7492450731087;77.1782510767772;;;;;;;;;;;;;;;;;;;
7;10;1;1;5;73.1915596663944;0.144902624295357;72.9292691789753;73.3644055025726;72.9292691789753;73.2931726907631;73.2423857190167;73.2254859011209;73.2084918025742;73.0777068697378;73.3644055025726;;;;;;;;;;;;;;;;;;
8;10;1;1;5;69.7547180185944;0.10338418722804;69.5935021941643;69.9081467097615;69.5935021941643;69.8612121908556;69.7562100462471;69.7243479818792;69.9081467097615;69.6551194997506;69.8060621628564;69.7331433632408;;;;;;;;;;;;;;;;;
9;10;1;1;5;66.6330177199177;0.140562556806637;66.4752353605052;66.823384826443;66.4752353605052;66.4851922583588;66.823384826443;66.7531098160471;66.5418851533812;66.7137134140256;66.5050071530758;66.5985100876503;66.8011214097723;;;;;;;;;;;;;;;;
10;10;1;1;5;63.7572823460155;0.157672728943535;63.5103409726104;63.9300822092745;63.801013093759;63.8722650452434;63.8986516710333;63.9300822092745;63.5103409726104;63.5658791313762;63.5962185342835;63.672080877773;63.8105273241056;63.9157646006961;;;;;;;;;;;;;;;
11;10;1;1;5;61.3709529166391;0.290529139210752;60.9346108589679;61.7825383993533;61.2724059580914;61.6774323778765;60.9488928463425;61.3715979520345;61.7825383993533;61.4890108040793;61.23818031654;61.5532280335433;61.1462823275862;61.6663022086158;60.9346108589679;;;;;;;;;;;;;;
12;10;1;1;5;59.1545998866333;0.158476239353765;58.7772213369755;59.3516587677725;59.2898666362704;58.7772213369755;59.3241932723573;59.153137757524;59.0264308803955;59.1882087029193;59.2346880583964;59.2072243346008;59.0572556762093;59.0530252691132;59.3516587677725;59.1922879470652;;;;;;;;;;;;;
13;10;1;1;5;57.1027183005125;0.198725548153198;56.854855350584;57.4071019095146;56.9038521119488;57.4071019095146;57.0522619293534;57.1275145607006;57.2248487726325;56.854855350584;56.9277792693253;56.9741514575935;56.9398252391084;57.161718895055;57.3906937359301;57.3956677060318;56.9750669688852;;;;;;;;;;;;
14;10;1;1;5;55.1994460587723;0.189902227506569;54.8925964977568;55.4748603351955;55.2296578418994;55.0945421517629;55.1432830876263;55.4654194776706;55.2654967859284;55.1688504939445;55.4748603351955;54.8925964977568;55.3850290607483;55.1462218266863;54.9501674868699;55.3785765933271;54.9315549315549;55.2659882518408;;;;;;;;;;;
15;10;1;1;5;53.5478905149118;0.221164145257837;53.1696720545641;53.8954808209881;53.2566690868211;53.1696720545641;53.5561228074284;53.3781567727124;53.8402134231957;53.600262092528;53.7061331584126;53.3540794122464;53.5679970003047;53.5984449284527;53.7036603905976;53.5401954823926;53.8954808209881;53.7787770205391;53.2724932724933;;;;;;;;;;
16;10;1;1;5;51.8165771381236;0.232479096735176;51.3944017732873;52.2271169848262;52.2271169848262;51.5984325048984;52.0122484689414;51.7309875141884;51.6204718318938;51.8529024937463;51.8079430942502;51.9153096138509;51.5705929342644;51.3944017732873;51.7644327503482;52.0630254267884;51.5273167091279;52.0868758695316;51.8890519972186;52.0041242428148;;;;;;;;;
17;10;1;1;5;50.4945861361029;0.214502711610443;50.1036935919985;50.9448818897638;50.5138961719979;50.1628322302763;50.5686743190355;50.4104487398043;50.6580848548535;50.5526239794177;50.6394936575886;50.9448818897638;50.2981428458851;50.5085280281727;50.2099627316151;50.5178697852479;50.7862336912294;50.500013123704;50.5075676101041;50.1036935919985;50.5250170630546;;;;;;;;
18;10;1;1;5;49.1831962079907;0.220629597058872;48.7423099821393;49.5991660668636;49.2575855390575;49.1273801544152;49.1931479642503;49.574219816778;49.2084367245658;48.7423099821393;49.2389442057955;48.8394031925722;49.1914449660929;49.0718221075098;49.3194575530277;49.066719618745;49.0051419628884;49.5991660668636;49.0076753024169;49.14753691525;49.4245460859212;49.2825935855426;;;;;;;
19;10;1;1;5;47.7792305206271;0.337825391103818;47.2675303694038;48.5668987813977;47.8417601541378;47.5946298713407;47.7601268380639;47.5269686324494;47.6668947925092;47.7457869535477;47.2675303694038;48.0378132968468;47.2696192696193;47.6480268264663;47.7576662312621;48.1600049729595;47.5063739817176;47.9373270743308;47.6279301125412;48.3697677307167;47.9783528240856;48.5668987813977;47.5419011785192;;;;;;
