Clients;Entries;Rd;Wr;Sec;Avg;Client1;Client2;Client3;Client4;Client5
5;50;0;20;5;93,52808618;0,935848026;0,9352650861;0,9355376915;0,9347114452;0,9350420602
5;50;1;19;5;52,1985047;0,5223880597;0,5226641009;0,5236651462;0,5174290771;0,5237788513
5;50;2;18;5;35,93735483;0,3536438786;0,3628978821;0,3591443429;0,3590500074;0,3621316306
5;50;3;17;5;28,66972536;0,2874055593;0,291161545;0,2837926818;0,2852944634;0,2858320186
5;50;4;16;5;25,18186244;0,2539372822;0,2519551252;0,2516791782;0,2523739871;0,2491475493
5;50;5;15;5;24,24977434;0,2389998107;0,2433532028;0,2447342263;0,2404363842;0,2449650929
5;50;6;14;5;24,69519069;0,2477818023;0,2487391273;0,2477396461;0,2446774861;0,2458214729
5;50;7;13;5;26,28021936;0,2618657532;0,2637665335;0,2611425452;0,2600802457;0,2671558905
5;50;8;12;5;28,8971726;0,2907918454;0,2916329011;0,2874234765;0,2865810317;0,2884293751
5;50;9;11;5;32,43650133;0,3267066372;0,3217274946;0,3261337392;0,3254860746;0,3217711207
5;50;10;10;5;36,52612526;0,3657121265;0,3644047201;0,3670406922;0,3649203349;0,3642283892
5;50;11;9;5;41,86422932;0,423265362;0,4183617673;0,4157764996;0,4194325775;0,4163752595
5;50;12;8;5;47,71477985;0,4780198131;0,4782486432;0,4768975505;0,4712718064;0,4813011791
5;50;13;7;5;54,14458174;0,5411518505;0,5388122616;0,5450478867;0,5437931034;0,5384239848
5;50;14;6;5;61,43425995;0,6171525307;0,612320612;0,6152301735;0,6118678161;0,6151418653
5;50;15;5;5;68,42027616;0,6831631317;0,6816873565;0,686343638;0,6850907608;0,6847289209
5;50;16;4;5;75,43775603;0,7546604328;0,7559755586;0,7554146225;0,7535082732;0,7523289144
5;50;17;3;5;82,01468101;0,8143937066;0,8208758138;0,8205104579;0,8212839082;0,8236701638
5;50;18;2;5;87,74229282;0,8781656823;0,8782023582;0,8757482259;0,8774058449;0,8775925298
5;50;19;1;5;94,0990743;0,942310562;0,9408862576;0,9410518779;0,9396484725;0,9410565449
5;50;20;0;5;100;1;1;1;1;1
