Clients;Entries;Rd;Wr;Sec;Avg;Client1;Client2;Client3;Client4;Client5
5;50;0;1;5;99,89545425;0,9990052797;0,9989558264;0,9988905891;0,998974519;0,9989464981
5;50;1;1;5;98,6898092;0,986612714;0,9867684099;0,9870437837;0,9869214307;0,9871441219
5;50;2;1;5;98,01116016;0,9805285865;0,9801482187;0,9802903699;0,9796161996;0,9799746333
5;50;3;1;5;97,53601388;0,9752893264;0,975281887;0,9749838885;0,9762000204;0,9750455717
5;50;4;1;5;97,41790859;0,9739929807;0,9745199514;0,9743652528;0,9738318989;0,9741853456
5;50;5;1;5;97,34543826;0,9732256376;0,9735333747;0,9733819177;0,9737157406;0,9734152424
5;50;6;1;5;97,20823877;0,9730580308;0,9717217619;0,9720779942;0,9714652607;0,9720888911
5;50;7;1;5;97,13911769;0,9709364909;0,9704362722;0,9718863862;0,9725389101;0,971157825
5;50;8;1;5;96,98221695;0,96933915;0,9696647726;0,9699906173;0,9701685523;0,9699477553
5;50;9;1;5;96,77527805;0,9673968416;0,9675375416;0,9685856747;0,9673994419;0,9678444029
5;50;10;1;5;96,64061657;0,9658064516;0,9664331797;0,967126369;0,966537137;0,966127691
5;50;11;1;5;96,31540683;0,963761175;0,963707426;0,9627013111;0,9618201465;0,963780283
5;50;12;1;5;96,09379347;0,9604626616;0,961738901;0,961380552;0,9602892053;0,9608183536
5;50;13;1;5;95,88015782;0,9569468465;0,9586893271;0,9594119009;0,9596671675;0,9592926491
5;50;14;1;5;95,51245788;0,9544407603;0,9552064564;0,9548963527;0,9553492373;0,9557300874
5;50;15;1;5;95,29747622;0,9533629442;0,9545863786;0,9521031136;0,9523367707;0,9524846039
5;50;16;1;5;95,01648658;0,9498140232;0,949445061;0,9490557629;0,9512079847;0,9513014973
5;50;17;1;5;94,68826552;0,9453464644;0,9461031866;0,9479535268;0,9468226535;0,9481874447
5;50;18;1;5;94,3360444;0,9440693402;0,9435547305;0,9415711226;0,9421730078;0,9454340191
5;50;19;1;5;94,12994709;0,9390908191;0,9407640152;0,9412037037;0,9429336153;0,9425052013
5;50;20;1;5;93,80114883;0,9380221152;0,9355343724;0,9376300097;0,9383777785;0,9404931659
