Clients;Entries;Rd;Wr;Sec;Client1;Client2;Client3;Client4;Client5
5;50;0;20;5;=30839/32953;=30889/33027;=30840/32965;=30838/32992;=30790/32929;
5;50;1;19;5;=19495/37319;=19556/37416;=19517/37270;=19297/37294;=19516/37260;
5;50;2;18;5;=14417/40767;=14787/40747;=14573/40577;=14604/40674;=14746/40720;
5;50;3;17;5;=12211/42487;=12393/42564;=12068/42524;=12135/42535;=12139/42469;
5;50;4;16;5;=10932/43050;=10825/42964;=10829/43027;=10870/43071;=10741/43111;
5;50;5;15;5;=10103/42272;=10288/42276;=10341/42254;=10182/42348;=10351/42255;
5;50;6;14;5;=10193/41137;=10209/41043;=10193/41144;=10056/41099;=10104/41103;
5;50;7;13;5;=10549/40284;=10629/40297;=10523/40296;=10501/40376;=10776/40336;
5;50;8;12;5;=11454/39389;=11516/39488;=11315/39367;=11289/39392;=11382/39462;
5;50;9;11;5;=12424/38028;=12262/38113;=12427/38104;=12388/38060;=12245/38055;
5;50;10;10;5;=13550/37051;=13495/37033;=13575/36985;=13513/37030;=13479/37007;
5;50;11;9;5;=15464/36535;=15302/36576;=15180/36510;=15316/36516;=15241/36604;
5;50;12;8;5;=16985/35532;=17007/35561;=16958/35559;=16749/35540;=17104/35537;
5;50;13;7;5;=18877/34883;=18790/34873;=19008/34874;=18924/34800;=18749/34822;
5;50;14;6;5;=21509/34852;=21291/34771;=21450/34865;=21293/34800;=21442/34857;
5;50;15;5;5;=23481/34371;=23448/34397;=23556/34321;=23513/34321;=23567/34418;
5;50;16;4;5;=25180/33366;=25239/33386;=25252/33428;=25183/33421;=25197/33492;
5;50;17;3;5;=26502/32542;=26731/32564;=26715/32559;=26764/32588;=26850/32598;
5;50;18;2;5;=28399/32339;=28452/32398;=28383/32410;=28492/32473;=28477/32449;
5;50;19;1;5;=31574/33507;=31467/33444;=31545/33521;=31435/33454;=31388/33354;
5;50;20;0;5;=36275/36275;=36198/36198;=36262/36262;=36257/36257;=36197/36197;
