Clients;Entries;Rd;Wr;Sec;Client1;Client2;Client3;Client4;Client5
5;50;0;1;5;=313344/313656;=313796/314124;=313332/313680;=313677/313999;=312911/313241;
5;50;1;1;5;=211881/214756;=211947/214789;=211865/214646;=211668/214473;=211851/214610;
5;50;2;1;5;=164316/167579;=164660/167995;=164479/167786;=164120/167535;=164574/167937;
5;50;3;1;5;=124049/127192;=124208/127356;=124055/127238;=124199/127227;=124096/127272;
5;50;4;1;5;=103515/106279;=103380/106083;=103462/106184;=103419/106198;=103439/106180;
5;50;5;1;5;=91091/93597;=91039/93514;=91092/93583;=91021/93478;=90953/93437;
5;50;6;1;5;=78843/81026;=78691/80981;=78819/81083;=78678/80989;=78781/81043;
5;50;7;1;5;=70356/72462;=70246/72386;=70419/72456;=70547/72539;=70407/72498;
5;50;8;1;5;=62882/64871;=62971/64941;=63062/65013;=63027/64965;=62937/64887;
5;50;9;1;5;=56970/58890;=56957/58868;=56917/58763;=56856/58772;=56977/58870;
5;50;10;1;5;=52395/54250;=52429/54250;=52455/54238;=52482/54299;=52282/54115;
5;50;11;1;5;=48296/50112;=48328/50148;=48240/50109;=48066/49974;=48216/50028;
5;50;12;1;5;=43678/45476;=43737/45477;=43788/45547;=43697/45504;=43723/45506;
5;50;13;1;5;=41498/43365;=41517/43306;=41437/43190;=41520/43265;=41499/43260;
5;50;14;1;5;=37709/39509;=37638/39403;=37727/39509;=37764/39529;=37845/39598;
5;50;15;1;5;=36060/37824;=36049/37764;=35900/37706;=35925/37723;=35882/37672;
5;50;16;1;5;=34218/36026;=34218/36040;=34073/35902;=34214/35969;=34244/35997;
5;50;17;1;5;=31965/33813;=32036/33861;=32147/33912;=32049/33849;=32172/33930;
5;50;18;1;5;=30062/31843;=29989/31783;=29893/31748;=29865/31698;=30148/31888;
5;50;19;1;5;=28446/30291;=28444/30235;=28462/30240;=28536/30263;=28540/30281;
5;50;20;1;5;=27061/28849;=26891/28744;=27045/28844;=27060/28837;=27042/28753;
