Clients;Entries;Rd;Wr;Sec;Client1;Client2;Client3;Client4;Client5
5;50;1;5;=383686/383686;=384847/384847;=384011/384011;=384202/384202;=384318/384318;
5;50;2;5;=249695/249695;=249151/249151;=250064/250064;=249420/249420;=249578/249578;
5;50;3;5;=190221/190221;=189803/189803;=190464/190464;=190194/190194;=190269/190269;
5;50;4;5;=128464/129329;=131001/139596;=130958/139600;=140889/140889;=121375/131508;
5;50;5;5;=99749/113859;=93567/113655;=102349/117047;=116882/118371;=114565/118357;
5;50;6;5;=78114/100233;=97847/101847;=85833/94648;=97662/101787;=83125/95242;
5;50;7;5;=70606/87610;=67501/87348;=76285/84254;=71185/86043;=79911/86821;
5;50;8;5;=82244/82244;=48426/71562;=44512/71646;=62011/72092;=73293/73837;
5;50;9;5;=51137/70108;=62674/73468;=59118/74154;=43208/68812;=35555/69165;
5;50;10;5;=44658/66491;=42964/63886;=41714/62518;=38453/65563;=39955/64372;
5;50;11;5;=31098/59486;=31480/60668;=51564/59622;=35978/64416;=40397/61315;
5;50;12;5;=35697/56484;=37031/56642;=35055/56198;=30487/56895;=24340/56149;
5;50;13;5;=41531/52149;=39348/50435;=23916/51333;=31647/52990;=22517/51317;
5;50;14;5;=29421/50223;=22770/47909;=17257/49159;=30298/48742;=18973/48897;
5;50;15;5;=21657/45842;=24121/47114;=18898/44750;=35555/48039;=22829/45132;
5;50;16;5;=20351/46090;=12904/46212;=26383/43684;=21314/43813;=22543/46328;
5;50;17;5;=15184/42829;=19084/43841;=20310/42366;=17553/43348;=18658/43918;
5;50;18;5;=16312/42133;=13511/41818;=10810/42233;=12608/41281;=24391/40684;
5;50;19;5;=14216/35294;=16893/36115;=11067/36669;=18818/37545;=13894/35994;
5;50;20;5;=10035/39671;=13560/39339;=9937/38476;=10285/38375;=11830/39458;
5;50;21;5;=13984/35914;=8041/37290;=6890/37652;=9655/37908;=8513/36803;
5;50;22;5;=9174/35173;=11460/34733;=12644/33614;=8384/35549;=7575/35039;
5;50;23;5;=10370/32362;=8694/32313;=5414/32750;=7537/33894;=7461/32434;
5;50;24;5;=4047/34173;=9626/34718;=11245/34786;=4714/33963;=6620/33816;
5;50;25;5;=4419/34488;=8411/35190;=8560/34675;=5216/34721;=7923/35375;
5;50;26;5;=6093/33778;=3896/35066;=4220/34068;=2868/33943;=5954/34276;
5;50;27;5;=4245/29906;=4945/32048;=3591/32534;=4515/29980;=6829/31446;
5;50;28;5;=5025/31956;=6483/31817;=6478/32159;=6528/32382;=5309/31526;
5;50;29;5;=4763/33654;=3170/34407;=4059/34300;=3480/32049;=6298/34112;
5;50;30;5;=4421/30462;=3906/30152;=5588/31031;=3846/29761;=2631/31397;
