Clients;Entries;Rd;Wr;Sec;Client1;Client2;Client3;Client4;Client5
5;50;1;0;5;=353412/353412;=353779/353779;=353845/353845;=353321/353321;=352472/352472;
5;50;1;1;5;=210269/213024;=210077/212905;=210685/213478;=210158/212896;=210356/213073;
5;50;1;2;5;=151058/156736;=151278/157037;=151242/156867;=151033/156804;=151039/156801;
5;50;1;3;5;=110571/118585;=110454/118616;=110459/118566;=110700/118835;=110558/118623;
5;50;1;4;5;=92675/102806;=92557/102686;=92676/102808;=92787/102860;=92417/102630;
5;50;1;5;5;=74581/86189;=74292/86035;=74289/86049;=74163/85979;=74390/86043;
5;50;1;6;5;=63271/75600;=63038/75530;=63250/75472;=63438/75666;=63294/75594;
5;50;1;7;5;=53923/67362;=54022/67361;=54162/67520;=53952/67391;=54119/67403;
5;50;1;8;5;=47640/61988;=47521/61914;=47333/61831;=47545/61932;=47606/61998;
5;50;1;9;5;=41988/56852;=42052/56971;=42118/57035;=41993/56934;=41828/56850;
5;50;1;10;5;=37564/53000;=37515/52855;=37301/52915;=37535/52882;=37588/52885;
5;50;1;11;5;=33898/49682;=33713/49636;=34128/49711;=33858/49601;=33867/49669;
5;50;1;12;5;=30162/45611;=30084/45581;=30058/45558;=30130/45667;=29990/45632;
5;50;1;13;5;=27593/43536;=27653/43579;=27728/43547;=27871/43712;=27739/43647;
5;50;1;14;5;=25412/41608;=25684/41534;=25500/41550;=25573/41525;=25659/41606;
5;50;1;15;5;=21693/36861;=21713/36895;=21733/36890;=21604/36879;=21493/36822;
5;50;1;16;5;=21190/36807;=21019/36814;=20980/36766;=21062/36754;=21076/36846;
5;50;1;17;5;=19568/35462;=19579/35420;=19462/35510;=19729/35431;=19563/35520;
5;50;1;18;5;=18766/34847;=18754/34761;=18700/34824;=18864/34808;=18670/34814;
5;50;1;19;5;=17662/33850;=17668/33864;=17782/33849;=17665/33855;=17667/33895;
5;50;1;20;5;=16243/31858;=16023/31923;=15923/31865;=16006/31957;=16318/31839;
