Clients;Entries;Rd;Wr;Sec;Avg;Client1;Client2;Client3;Client4;Client5;Client6;Client7;Client8;Client9;Client10;Client11;Client12;Client13;Client14;Client15;Client16;Client17;Client18;Client19;Client20;Client21;Client22;Client23;Client24;Client25;Client26;Client27;Client28;Client29;Client30;Client31;Client32;Client33;Client34;Client35;Client36;Client37;Client38;Client39;Client40;Client41;Client42;Client43;Client44;Client45;Client46;Client47;Client48;Client49;Client50
1;50;2;2;5;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;50;2;2;5;98,79485496;0,987973042;0,9879240571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;50;2;2;5;97,41775803;0,9742961483;0,9741021561;0,9741344365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;50;2;2;5;95,8684629;0,9590677208;0,9588753875;0,9586879776;0,9581074302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;50;2;2;5;94,60637018;0,9466533553;0,9450523242;0,9472741973;0,9453122738;0,9460263585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;50;2;2;5;93,29621388;0,9325014613;0,9325818926;0,9343582628;0,9331873224;0,9321535921;0,9329903015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;50;2;2;5;91,58846681;0,9153835579;0,9162543198;0,9167295721;0,9139072197;0,9154860532;0,9149468111;0,918485143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;50;2;2;5;90,35062023;0,9035850199;0,9033122892;0,9041270527;0,9031685184;0,9029246977;0,9040161466;0,902962923;0,9039529707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;50;2;2;5;87,93074899;0,8794366057;0,8799766027;0,8792310282;0,8788666234;0,8798749424;0,8777670958;0,8789353822;0,8808042006;0,8788749282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;50;2;2;5;86,40442871;0,8642370052;0,8626384522;0,8628681523;0,8640268799;0,8648067151;0,8620035129;0,863749646;0,8646788991;0,865821857;0,8656117515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;50;2;2;5;84,63113953;0,8448656347;0,8476663853;0,8459676034;0,8458027914;0,8460888082;0,8463103529;0,846885759;0,8452211462;0,8460118861;0,847382542;0,8472224395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;50;2;2;5;83,3753565;0,832278481;0,8336937827;0,8336428219;0,8324281069;0,834407907;0,8354419617;0,8336489414;0,8329782701;0,835243431;0,8323411514;0,8346039055;0,8343340194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;50;2;2;5;81,85191482;0,8185773208;0,819517986;0,8195091585;0,8189463363;0,81926462;0,8174016148;0,8174940095;0,817393599;0,8197449221;0,8189715408;0,8175586358;0,8166748111;0,8196943717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;50;2;2;5;80,46326973;0,8061440026;0,8063565479;0,8035017858;0,8037668566;0,8039348433;0,8050141562;0,8059112293;0,8035420776;0,8050185531;0,8028128705;0,8043870069;0,8045861801;0,8034952412;0,8063864105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;50;2;2;5;79,32223507;0,7943668219;0,7955541779;0,7922340449;0,7954530346;0,7905668349;0,7878660066;0,7901924271;0,7959278728;0,7955431508;0,7947299429;0,7926330452;0,791924022;0,7932757434;0,795686972;0,7923811639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;50;2;2;5;78,56693471;0,7894924352;0,7861546885;0,7841989584;0,7872411569;0,784837872;0,7850656625;0,7823422388;0,7876668332;0,7856903646;0,78436381;0,7884532735;0,7826668578;0,7854176611;0,7876818323;0,7827667001;0,7866692086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;50;2;2;5;77,35726787;0,7733215272;0,7796420872;0,773600167;0,7749555765;0,7725675922;0,7747361822;0,7751258237;0,7737220572;0,7714857975;0,7705637828;0,7680694618;0,7735118274;0,7735012647;0,7727497206;0,774189351;0,773465563;0,7755277561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;50;2;2;5;76,57802758;0,7642633229;0,7658430565;0,7634107286;0,7648304478;0,7670633331;0,7636592843;0,7652959163;0,7669822384;0,7694842407;0,7648168257;0,7662289253;0,7664485901;0,7677376937;0,762828375;0,7647462277;0,7697087157;0,7659592699;0,7647377732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;50;2;2;5;75,74738262;0,7541064137;0,7550277021;0,758640747;0,754861196;0,7550030694;0,757151161;0,757364838;0,7597671212;0,7601914809;0,7557548671;0,7582832249;0,7609620269;0,7584015642;0,7622027534;0,7573394495;0,7549088898;0,7558303238;0,7573864854;0,7588193827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
