Clients;Entries;Rd;Wr;Sec;Avg;Client1;Client2;Client3;Client4;Client5
5;1;1;1;5;67,14596145;0,6709198813;0,6714494349;0,6731251066;0,6706667805;0,6711368691
5;2;1;1;5;77,89578848;0,7797385123;0,779407851;0,7788916273;0,7783403456;0,778411088
5;3;1;1;5;83,21470691;0,8330304514;0,8309346591;0,8328990335;0,8315349415;0,8323362602
5;4;1;1;5;87,43506171;0,8745315191;0,8737797749;0,8740847715;0,8739943665;0,8753626535
5;5;1;1;5;88,72168878;0,8874498935;0,8864118167;0,8867982444;0,8879362799;0,8874882046
5;6;1;1;5;90,19194109;0,9019320162;0,9017298964;0,9019710283;0,9024260753;0,9015380383
5;7;1;1;5;91,52108695;0,915547306;0,9159543018;0,9158004403;0,9144885386;0,914263761
5;8;1;1;5;92,6276477;0,9266841906;0,9264320183;0,9255739156;0,9255257154;0,9271665448
5;9;1;1;5;93,24389318;0,93263787;0,9325776329;0,9320176132;0,9326386573;0,9323228858
5;10;1;1;5;93,96468947;0,9399937152;0,9399793078;0,9398372161;0,9400300792;0,9383941553
5;11;1;1;5;94,50639063;0,9452875149;0,9441789213;0,9451371013;0,9456066198;0,9451093741
5;12;1;1;5;94,86098226;0,9478151797;0,9492762543;0,9487288116;0,9484328756;0,9487959917
5;13;1;1;5;95,30274731;0,9534338298;0,9534251857;0,9531109996;0,9522379362;0,9529294143
5;14;1;1;5;95,59954097;0,9561169194;0,9563340207;0,9559593762;0,955369357;0,9561973754
5;15;1;1;5;95,87580488;0,9586689149;0,9590698059;0,9583076654;0,9589162525;0,9588276055
5;16;1;1;5;96,12643614;0,9615941004;0,9608017044;0,9617722329;0,9609578987;0,9611958706
5;17;1;1;5;96,35628699;0,9644799276;0,9638483077;0,9634187544;0,9625033533;0,9635640068
5;18;1;1;5;96,45043349;0,9641888275;0,9648683071;0,964810991;0,9648073496;0,9638461991
5;19;1;1;5;96,69910668;0,9668553709;0,9669571516;0,9668919493;0,9671522563;0,9670986057
5;20;1;1;5;96,88150965;0,9687903814;0,9685894894;0,9686080021;0,9692010005;0,968886609
5;21;1;1;5;96,95915932;0,9701526106;0,9698414932;0,9693995327;0,969353886;0,9692104437
5;22;1;1;5;97,06452104;0,9705063507;0,9708933279;0,9709221592;0,9706379715;0,9702662428
5;23;1;1;5;97,22707871;0,9724313702;0,9723416586;0,9721412147;0,9725255965;0,9719140957
5;24;1;1;5;97,36735046;0,9734836996;0,9736313157;0,9738653385;0,9737593012;0,9736278681
5;25;1;1;5;97,45370297;0,9746642058;0,9744245767;0,9747635117;0,9745411036;0,9742917503
5;26;1;1;5;97,4524458;0,9742275972;0,9741099327;0,9744490055;0,9751648588;0,9746708959
5;27;1;1;5;97,5969843;0,976098876;0,9763204745;0,9756107577;0,9758697221;0,9759493844
5;28;1;1;5;97,7656048;0,9779690311;0,9776525448;0,9775123446;0,9775592291;0,9775870902
5;29;1;1;5;97,80575535;0,9777078696;0,9785800219;0,9778149258;0,9783125793;0,9778723707
5;30;1;1;5;97,82512254;0,9776298619;0,9785451222;0,9781756173;0,9781020246;0,9788035009
5;31;1;1;5;97,95345336;0,9793053822;0,9793788312;0,9802443612;0,9795245001;0,9792195931
5;32;1;1;5;98,02794073;0,9803765249;0,9801963869;0,9803120456;0,9805242944;0,9799877849
5;33;1;1;5;98,02479597;0,9803704342;0,9804816329;0,9800293276;0,9801122493;0,9802461547
5;34;1;1;5;98,11926117;0,9812185466;0,9810481372;0,9817353897;0,9806613834;0,9812996018
5;35;1;1;5;98,11050708;0,9806461232;0,9806917507;0,9812282991;0,9813499966;0,9816091844
5;36;1;1;5;98,03191429;0,9796756745;0,9805193368;0,9802948322;0,9807016766;0,9804041946
5;37;1;1;5;98,21364028;0,9822301115;0,9817381224;0,9820879708;0,9818942103;0,982731599
5;38;1;1;5;98,3067856;0,9829293683;0,9831723896;0,9832390395;0,983178681;0,9828198015
5;39;1;1;5;98,36888761;0,9839795878;0,9834479755;0,9836732521;0,9836612649;0,9836823002
5;40;1;1;5;98,34484032;0,9835917122;0,9832043819;0,9838179893;0,9835215346;0,9831063982
5;41;1;1;5;98,36226274;0,9833422046;0,9840474228;0,983563362;0,9835159262;0,9836442213
5;42;1;1;5;98,44751999;0,9842656044;0,9848272534;0,9843678182;0,984298441;0,9846168825
5;43;1;1;5;98,51436317;0,9848570948;0,9850689894;0,9850808066;0,9854964891;0,9852147789
5;44;1;1;5;98,54123992;0,9851779818;0,9852367562;0,9854272426;0,9856765055;0,9855435097
5;45;1;1;5;98,52286639;0,9854125844;0,9853289162;0,9851464474;0,9849611857;0,9852941859
5;46;1;1;5;98,54800111;0,9856060501;0,9855945655;0,9854147128;0,9852511061;0,9855336209
5;47;1;1;5;98,63639203;0,986475328;0,9865002743;0,9865860562;0,9862908677;0,9859670752
5;48;1;1;5;98,61349548;0,9863931154;0,9859334037;0,986302571;0,9863032613;0,9857424226
5;49;1;1;5;98,68276515;0,9867826341;0,9868537092;0,9867804849;0,9866557709;0,9870656582
5;50;1;1;5;98,67087492;0,9871368775;0,9863607838;0,9869358725;0,9864366068;0,9866736056
