Clients;Entries;Rd;Wr;Sec;Avg;RdPercent;WrPercent;Client1;Client2;Client3;Client4;Client5
5;50;0;10;5;94,85709446;0;100;0,9500820617;0,9468610887;0,9489335664;0,9493243243;0,9476536821
5;50;1;9;5;73,47426042;10;90;0,7351234145;0,7362309386;0,7337509789;0,7336360815;0,7349716076
5;50;2;8;5;65,38590791;20;80;0,6534548506;0,6559668118;0,6543879772;0,6544833878;0,651002368
5;50;3;7;5;63,37095304;30;70;0,6317429377;0,6325648202;0,6307519475;0,6373231097;0,636164837
5;50;4;6;5;65,35933651;40;60;0,6552305878;0,6518940925;0,6542966121;0,6541139903;0,6524315427
5;50;5;5;5;70,03925248;50;50;0,7010655512;0,7011264424;0,6989724357;0,6999832222;0,7008149722
5;50;6;4;5;77,32923899;60;40;0,7734372635;0,7726797326;0,7739225215;0,7735723167;0,7728501154
5;50;7;3;5;84,62209445;70;30;0,8465927744;0,8450644651;0,8460214381;0,8461610487;0,847264996
5;50;8;2;5;91,42532861;80;20;0,9134157214;0,9142905426;0,9147421507;0,913828824;0,9149891916
5;50;9;1;5;96,79354359;90;10;0,9683251598;0,968611745;0,96692752;0,9683718329;0,9674409217
5;50;10;0;5;100;100;0;1;1;1;1;1
