Clients;Entries;SubsetSize;Sec;Client1;Client2;Client3;Client4;Client5;Avg;Min;Max;DesvTip;AvgMinusMin;MaxMinusAvg
5;50;1;5;100;100;100;100;100;100;100;100;0;0;0
5;50;2;5;100;100;100;100;100;100;100;100;0;0;0
5;50;3;5;100;100;100;100;100;100;100;100;0;0;0
5;50;4;5;99,33116316;93,84294679;93,80945559;100;92,29476534;95,85566617;92,29476534;100;3,541631474;3,560900837;4,144333826
5;50;5;5;87,60747943;82,32545862;87,44265124;98,74209055;96,79613373;90,58276271;82,32545862;98,74209055;6,929579561;8,257304089;8,159327832
5;50;6;5;77,93241747;96,07254018;90,68654383;95,94741961;87,27767162;89,58331854;77,93241747;96,07254018;7,498139595;11,65090107;6,489221642
5;50;7;5;80,59125671;77,27824335;90,54169535;82,73188987;92,04109605;84,63683626;77,27824335;92,04109605;6,399899378;7,358592916;7,404259784
5;50;8;5;100;67,66999245;62,12768333;86,01647894;99,26324201;83,01547935;62,12768333;100;17,55885619;20,88779602;16,98452065
5;50;9;5;72,94032065;85,30788915;79,72327858;62,7913736;51,40605798;70,43378399;51,40605798;85,30788915;13,54877517;19,02772601;14,87410516
5;50;10;5;67,16397708;67,25104092;66,72318372;58,65045834;62,06891195;64,3715144;58,65045834;67,25104092;3,86174604;5,721056063;2,879526515
5;50;11;5;52,27784689;51,88896947;86,48485458;55,85258321;65,88436761;62,47772435;51,88896947;86,48485458;14,5602133;10,58875488;24,00713023
5;50;12;5;63,19842787;65,37728188;62,37766469;53,58467352;43,34894655;57,5773989;43,34894655;65,37728188;9,136019441;14,22845235;7,799882974
5;50;13;5;79,63911101;78,01724993;46,58991292;59,72258917;43,87824697;61,569422;43,87824697;79,63911101;16,86578535;17,69117503;18,06968901
5;50;14;5;58,58072994;47,52760442;35,10445697;62,1599442;38,80197149;48,4349414;35,10445697;62,1599442;11,85993162;13,33048444;13,72500279
5;50;15;5;47,2427032;51,1970964;42,2301676;74,01278128;50,58273509;53,05309671;42,2301676;74,01278128;12,24492005;10,82292912;20,95968457
5;50;16;5;44,1549143;27,92348308;60,39511034;48,64766165;48,65955793;45,95614546;27,92348308;60,39511034;11,7415688;18,03266238;14,43896488
5;50;17;5;35,45261388;43,53002897;47,93938536;40,49321768;42,48371966;41,97979311;35,45261388;47,93938536;4,554884414;6,527179226;5,959592247
5;50;18;5;38,71549617;32,30905352;25,59609784;30,54189579;59,95231541;37,42297174;25,59609784;59,95231541;13,4407799;11,82687391;22,52934366
5;50;19;5;40,27880093;46,77557801;30,18080668;50,12118791;38,60087792;41,19145029;30,18080668;50,12118791;7,741139503;11,01064361;8,929737617
5;50;20;5;25,29555595;34,46961031;25,82648924;26,80130293;29,98124588;28,47484086;25,29555595;34,46961031;3,812114404;3,179284915;5,994769448
5;50;21;5;38,93746171;21,56342183;18,29916074;25,46955788;23,13126647;25,48017373;18,29916074;38,93746171;7,961218044;7,18101299;13,45728799
5;50;22;5;26,08250647;32,99455849;37,61527935;23,58434836;21,61876766;28,37909207;21,61876766;37,61527935;6,718920011;6,760324407;9,236187282
5;50;23;5;32,04375502;26,9055798;16,53129771;22,2369741;23,00363816;24,14424896;16,53129771;32,04375502;5,764608858;7,612951246;7,899506065
5;50;24;5;11,84268282;27,72625151;32,32622319;13,87981038;19,57653182;21,07029995;11,84268282;32,32622319;8,804557067;9,227617125;11,25592325
5;50;25;5;12,8131524;23,90167661;24,68637347;15,0226088;22,39717314;19,76419688;12,8131524;24,68637347;5,456161696;6,951044484;4,922176583
5;50;26;5;18,03836817;11,11047739;12,38699072;8,449459388;17,37075505;13,47121014;8,449459388;18,03836817;4,124074273;5,021750755;4,567158026
5;50;27;5;14,19447602;15,42998003;11,03768365;15,06004003;21,71659353;15,48775465;11,03768365;21,71659353;3,887814711;4,450070998;6,228838873
5;50;28;5;15,72474653;20,37589968;20,14366118;20,15934779;16,84006851;18,64874474;15,72474653;20,37589968;2,197773655;2,923998211;1,727154939
5;50;29;5;14,15284959;9,213241492;11,83381924;10,85837312;18,46271107;12,9041989;9,213241492;18,46271107;3,585054686;3,69095741;5,558512168
5;50;30;5;14,51316394;12,95436455;18,00779865;12,92295286;8,379781508;13,3556123;8,379781508;18,00779865;3,467342271;4,975830795;4,65218635
