Clients;Entries;Rd;Wr;Sec;Avg;Client1;Client2;Client3;Client4;Client5
5;50;1;0;5;100;1;1;1;1;1
5;50;1;1;5;98,70177424;0,9870671849;0,9867170804;0,9869166846;0,9871392605;0,9872485017
5;50;1;2;5;96,35382136;0,963773479;0,963327114;0,9641415977;0,9631960919;0,9632527854
5;50;1;3;5;93,17578642;0,9324197833;0,9311897215;0,9316245804;0,9315437371;0,9320114986
5;50;1;4;5;90,13639946;0,901455168;0,9013594843;0,9014473582;0,9020707758;0,900487187
5;50;1;5;5;86,38601537;0,8653192403;0,863509037;0,863333682;0,8625710929;0,8645677161
5;50;1;6;5;83,70539255;0,8369179894;0,8346087647;0,8380591478;0,8383950519;0,8372886737
5;50;1;7;5;80,16268041;0,8004958285;0,8019774053;0,8021623223;0,80058168;0,8029167841
5;50;1;8;5;76,74301373;0,7685358456;0,7675323836;0,7655221491;0,7676968288;0,7678634795
5;50;1;9;5;73,76944174;0,7385492155;0,7381299258;0,7384588411;0,7375733305;0,735760774
5;50;1;10;5;70,87974588;0,708754717;0,7097720178;0,7049229897;0,7097878295;0,71074974
5;50;1;11;5;68,24986489;0,6822994243;0,6792046096;0,6865281326;0,6826072055;0,6818538726
5;50;1;12;5;65,96128979;0,6612878472;0,660011847;0,6597743536;0,659776206;0,6572142356
5;50;1;13;5;63,56438253;0,6337973172;0,6345487505;0,6367373183;0,6376052343;0,6355305061
5;50;1;14;5;61,50822188;0,6107479331;0,6183849376;0,6137184116;0,615845876;0,6167139355
5;50;1;15;5;58,71307112;0,5885081794;0,5885079279;0,5891298455;0,5858076412;0,583699962
5;50;1;16;5;57,24697103;0,5757057082;0,5709512685;0,5706359136;0,5730532731;0,5720023883
5;50;1;17;5;55,20457188;0,5518019288;0,5527667984;0,5480709659;0,5568287658;0,5507601351
5;50;1;18;5;53,86494205;0,5385255546;0,5395126722;0,5369859867;0,5419443806;0,5362785086
5;50;1;19;5;52,23702033;0,5217725258;0,5217339948;0,525333097;0,5217840792;0,5212273197
5;50;1;20;5;50,49722486;0,5098562371;0,5019265107;0,4997018673;0,5008605313;0,5125160966
